mort,category,geography,year,sex,deaths,population,crude_rate_per_100000,age_standardised_rate_per_100000,rate_ratio,premature_deaths,premature_deaths_percent,premature_deaths_asr_per_100000,potential_years_of_life_lost,pyll_rate_per_1000,potentially_avoidable_deaths,pad_percent,pad_asr_per_100000,median_age
REM8,Remoteness area,Unknown/missing,2021,Males,234,,,,,,,,,,,,,
REM9,Remoteness area,Australia (total),2017,Males,"82,858","12,204,216",678.9,626,1,"33,381",40.3,255.6,"552,351",48.1,"17,783",52.5,139,78.9
REM9,Remoteness area,Australia (total),2018,Males,"82,320","12,391,538",664.3,604.4,1,"33,419",40.6,249.6,"546,730",46.9,"17,618",51.9,134.5,78.9
REM9,Remoteness area,Australia (total),2019,Males,"88,346","12,579,318",702.3,630.6,1,"35,983",40.7,264.5,"600,028",50.8,"18,057",51.7,135.4,78.8
REM9,Remoteness area,Australia (total),2020,Males,"84,588","12,730,767",664.4,583.4,1,"34,026",40.2,244.1,"554,302",46.5,"17,224",50.6,126.4,78.9
REM9,Remoteness area,Australia (total),2021,Males,"89,401","12,749,582",701.2,597.1,1,"34,742",38.9,245.9,"558,212",46.9,"17,113",49.3,124.1,79.4
REM1,Remoteness area,Major Cities of Australia,2017,Females,"52,212","8,962,078",582.6,426.7,0.96,"13,151",25.2,141.6,"212,099",25.5,"6,268",47.1,68.3,85.6
REM1,Remoteness area,Major Cities of Australia,2018,Females,"50,799","9,112,656",557.5,408.2,0.95,"13,159",25.9,137.3,"208,549",24.6,"6,194",46.6,65.7,85.3
REM1,Remoteness area,Major Cities of Australia,2019,Females,"54,055","9,262,897",583.6,424.7,0.96,"14,068",26,143.2,"224,478",26.1,"6,351",46.1,65.7,85.3
REM1,Remoteness area,Major Cities of Australia,2020,Females,"51,418","9,388,082",547.7,393.5,0.96,"13,313",25.9,131.7,"210,034",24.1,"6,055",45.5,61.2,85.2
REM1,Remoteness area,Major Cities of Australia,2021,Females,"54,776","9,372,817",584.4,409.1,0.96,"13,877",25.3,135.6,"216,578",25,"6,134",44.2,61.1,85.3
REM2,Remoteness area,Inner Regional Australia,2017,Females,"17,313","2,183,203",793,475.2,1.07,"4,638",26.8,167.7,"67,434",34,"2,289",48.7,86,84.6
REM2,Remoteness area,Inner Regional Australia,2018,Females,"17,030","2,212,926",769.6,461.5,1.08,"4,732",27.8,169,"69,225",34.4,"2,294",48.1,85.7,84.3
REM2,Remoteness area,Inner Regional Australia,2019,Females,"17,880","2,243,553",796.9,468.9,1.06,"4,826",27,166.3,"67,927",33.4,"2,258",47.7,80,84.5
REM2,Remoteness area,Inner Regional Australia,2020,Females,"16,863","2,273,915",741.6,431.6,1.05,"4,642",27.5,156.4,"65,465",31.9,"2,204",47.5,77.3,84.3
REM2,Remoteness area,Inner Regional Australia,2021,Females,"18,404","2,299,647",800.3,455.5,1.07,"5,005",27.2,163.3,"69,068",33.3,"2,236",44.7,76.5,84.3
REM3,Remoteness area,Outer Regional Australia,2017,Females,"7,131","1,009,112",706.7,491.5,1.1,"2,159",30.3,179,"34,667",37.3,"1,081",49.8,92.4,83.1
REM3,Remoteness area,Outer Regional Australia,2018,Females,"6,977","1,013,625",688.3,470.1,1.1,"2,143",30.7,173.1,"32,157",34.5,"1,037",48.2,86.4,83.1
REM3,Remoteness area,Outer Regional Australia,2019,Females,"7,349","1,018,110",721.8,489.1,1.1,"2,294",31.2,186.1,"35,964",38.5,"1,129",49.7,95.4,83.2
REM3,Remoteness area,Outer Regional Australia,2020,Females,"7,117","1,025,013",694.4,463.5,1.13,"2,223",31.2,175.8,"34,829",37.1,"1,098",49.4,90.7,82.7
REM3,Remoteness area,Outer Regional Australia,2021,Females,"7,537","1,028,176",733,477.2,1.12,"2,348",31.2,181,"35,688",38,"1,125",47.9,91.2,82.9
REM4,Remoteness area,Remote Australia,2017,Females,736,"142,330",517.4,514.9,1.15,315,42.8,215.8,"5,817",43,166,52.6,113.9,78.5
REM4,Remoteness area,Remote Australia,2018,Females,722,"142,798",505.9,496.4,1.16,314,43.4,211.4,"5,960",44,176,56,119.2,78.5
REM4,Remoteness area,Remote Australia,2019,Females,716,"143,309",499.3,483.7,1.09,290,40.5,191.2,"5,556",41,165,57,110.5,79.1
REM4,Remoteness area,Remote Australia,2020,Females,734,"144,366",508.4,484.3,1.18,328,44.7,215.2,"6,456",47.3,167,51,112.6,77.7
REM4,Remoteness area,Remote Australia,2021,Females,797,"144,745",550.8,513.7,1.2,342,43,218.4,"6,024",44.1,168,49.1,109.9,78.6
REM5,Remoteness area,Very Remote Australia,2017,Females,474,"93,263",508.5,738.4,1.66,293,61.7,350.6,"7,044",77.6,180,61.6,215.9,67.4
REM5,Remoteness area,Very Remote Australia,2018,Females,450,"93,100",483.3,686.6,1.6,269,59.7,319.7,"5,942",65.7,161,59.9,189.7,68.5
REM5,Remoteness area,Very Remote Australia,2019,Females,446,"93,030",479.8,657.6,1.48,286,64,340,"6,314",69.9,172,60.3,205.8,67
REM5,Remoteness area,Very Remote Australia,2020,Females,421,"93,146",452,597.7,1.46,273,64.8,318.2,"6,605",73.2,156,57.1,180.7,66.9
REM5,Remoteness area,Very Remote Australia,2021,Females,447,"93,112",480.1,643.5,1.51,264,59,302.1,"5,497",61,149,56.5,171.8,69.3
REM8,Remoteness area,Unknown/missing,2017,Females,184,,,,,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2018,Females,195,,,,,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2019,Females,509,,,,,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2020,Females,159,,,,,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2021,Females,107,,,,,,,,,,,,,
REM9,Remoteness area,Australia (total),2017,Females,"78,051","12,389,986",630,446.1,1,"20,698",26.5,153.3,"330,401",28.8,"10,084",48.2,76.1,85
REM9,Remoteness area,Australia (total),2018,Females,"76,173","12,575,105",605.7,427.8,1,"20,770",27.3,149.6,"325,077",27.9,"10,003",47.6,73.7,84.8
REM9,Remoteness area,Australia (total),2019,Females,"80,955","12,760,899",634.4,444.1,1,"22,007",27.2,154.7,"344,865",29.2,"10,183",47.3,73.2,84.8
REM9,Remoteness area,Australia (total),2020,Females,"76,712","12,924,522",593.5,410.3,1,"20,901",27.2,143.1,"326,077",27.4,"9,760",46.7,68.7,84.6
REM9,Remoteness area,Australia (total),2021,Females,"82,068","12,938,497",634.3,427.4,1,"21,923",26.7,147.5,"334,958",28.2,"9,854",44.9,68.1,84.8
REM1,Remoteness area,Major Cities of Australia,2017,Persons,"105,450","17,732,037",594.7,503.8,0.95,"33,710",32,186,"556,877",33.5,"17,012",49.7,95,82.7
REM1,Remoteness area,Major Cities of Australia,2018,Persons,"103,353","18,032,795",573.1,482.8,0.95,"33,670",32.6,180.6,"551,548",32.6,"16,691",49,90.8,82.5
REM1,Remoteness area,Major Cities of Australia,2019,Persons,"110,387","18,333,532",602.1,503.1,0.95,"36,125",32.7,189.7,"600,453",35,"17,225",48.9,91.7,82.4
REM1,Remoteness area,Major Cities of Australia,2020,Persons,"105,570","18,573,254",568.4,467,0.95,"34,205",32.4,174.9,"557,087",32.1,"16,435",48,85.5,82.4
REM1,Remoteness area,Major Cities of Australia,2021,Persons,"112,222","18,544,197",605.2,483,0.95,"35,240",31.4,178.4,"564,315",32.7,"16,438",46.6,84.6,82.7
REM2,Remoteness area,Inner Regional Australia,2017,Persons,"36,061","4,327,809",833.2,565.5,1.07,"12,154",33.7,225.4,"183,276",46.2,"6,330",51.4,123.3,81.6
REM2,Remoteness area,Inner Regional Australia,2018,Persons,"35,879","4,389,026",817.5,549.7,1.08,"12,340",34.4,223.9,"183,373",45.6,"6,370",51.1,121.5,81.3
REM2,Remoteness area,Inner Regional Australia,2019,Persons,"38,209","4,450,793",858.5,568.9,1.07,"13,063",34.2,232,"193,851",47.7,"6,342",49.7,117.5,81.4
REM2,Remoteness area,Inner Regional Australia,2020,Persons,"36,305","4,510,446",804.9,523.5,1.07,"12,449",34.3,214.8,"181,054",44.1,"6,157",49.5,111.4,81.3
REM2,Remoteness area,Inner Regional Australia,2021,Persons,"38,990","4,564,154",854.3,541.9,1.07,"13,028",33.4,219.4,"189,044",45.7,"6,205",47.6,110.2,81.5
REM3,Remoteness area,Outer Regional Australia,2017,Persons,"16,001","2,038,807",784.8,603.9,1.14,"6,163",38.5,252,"99,775",52.7,"3,279",52.9,139.2,79.7
REM3,Remoteness area,Outer Regional Australia,2018,Persons,"15,818","2,050,185",771.5,582,1.14,"6,090",38.5,243,"94,763",49.9,"3,183",52,132,79.6
REM3,Remoteness area,Outer Regional Australia,2019,Persons,"16,569","2,061,434",803.8,598.1,1.13,"6,444",38.9,255.9,"101,954",53.5,"3,371",52.8,139.7,79.6
REM3,Remoteness area,Outer Regional Australia,2020,Persons,"16,063","2,075,902",773.8,564.4,1.15,"6,246",38.9,243.4,"98,745",51.6,"3,252",52.1,132.7,79.4
REM3,Remoteness area,Outer Regional Australia,2021,Persons,"16,875","2,083,824",809.8,575.4,1.13,"6,434",38.1,245.3,"100,138",52.3,"3,220",50,129,79.7
REM4,Remoteness area,Remote Australia,2017,Persons,"1,812","295,279",613.8,642.3,1.21,932,51.4,298.5,"17,223",61.2,506,54.3,164.6,74.4
REM4,Remoteness area,Remote Australia,2018,Persons,"1,770","295,822",598.3,618,1.21,896,50.6,287.5,"16,814",59.8,503,56,164.4,74.7
REM4,Remoteness area,Remote Australia,2019,Persons,"1,773","296,879",597.1,606.2,1.14,871,49.2,274.5,"16,692",59.2,488,56.1,157.8,75.3
REM4,Remoteness area,Remote Australia,2020,Persons,"1,810","299,016",605.5,601.6,1.22,910,50.3,282.4,"17,164",60.6,467,51.3,149,74.8
REM4,Remoteness area,Remote Australia,2021,Persons,"1,901","300,192",633.1,614.9,1.21,947,49.8,286.1,"16,815",59.2,499,52.7,154.2,75.1
REM5,Remoteness area,Very Remote Australia,2017,Persons,"1,097","200,271",547.7,805.7,1.52,737,67.2,404.4,"16,466",84.4,456,61.9,252.2,67.1
REM5,Remoteness area,Very Remote Australia,2018,Persons,"1,107","198,816",556.7,796.4,1.56,732,66.2,403,"15,483",80.1,446,61,244,67.5
REM5,Remoteness area,Very Remote Australia,2019,Persons,"1,094","197,580",553.6,755.7,1.42,742,67.8,403.6,"16,113",83.9,456,61.5,247.5,66.2
REM5,Remoteness area,Very Remote Australia,2020,Persons,"1,041","196,671",529.3,703.3,1.43,701,67.3,378.5,"16,574",86.9,406,57.9,217.8,66.4
REM5,Remoteness area,Very Remote Australia,2021,Persons,"1,141","195,712",582.9,785.5,1.55,719,63.1,382.3,"15,193",80.2,424,58.9,226,68.4
REM8,Remoteness area,Unknown/missing,2017,Persons,488,,,,,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2018,Persons,567,,,,,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2019,Persons,"1,270",,,,,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2020,Persons,510,,,,,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2021,Persons,341,,,,,,,,,,,,,
REM9,Remoteness area,Australia (total),2017,Persons,"160,909","24,594,202",654.3,530,1,"54,079",33.6,203.7,"882,752",38.4,"27,867",50.8,107.2,81.9
REM9,Remoteness area,Australia (total),2018,Persons,"158,493","24,966,643",634.8,510.2,1,"54,189",34.2,198.8,"871,807",37.4,"27,621",50.2,103.7,81.7
REM9,Remoteness area,Australia (total),2019,Persons,"169,301","25,340,217",668.1,531.5,1,"57,990",34.3,208.7,"944,893",40,"28,240",50,103.8,81.7
REM9,Remoteness area,Australia (total),2020,Persons,"161,300","25,655,289",628.7,491.5,1,"54,927",34.1,192.6,"880,379",36.9,"26,984",49.1,97.1,81.7
REM9,Remoteness area,Australia (total),2021,Persons,"171,469","25,688,079",667.5,507.2,1,"56,665",33,195.7,"893,170",37.5,"26,967",47.6,95.6,82
SEG1,Socioeconomic group,Quintile 1 (lowest),2017,Males,"20,979","2,521,070",832.1,752.2,1.2,"9,269",44.2,343.3,"157,345",66.5,"4,993",53.2,189,77.3
SEG1,Socioeconomic group,Quintile 1 (lowest),2018,Males,"20,826","2,546,993",817.7,728.4,1.21,"9,493",45.6,345,"158,628",66.4,"5,126",53.5,191,76.9
SEG1,Socioeconomic group,Quintile 1 (lowest),2019,Males,"21,912","2,570,507",852.4,748.3,1.19,"9,866",45,353.5,"165,671",68.9,"5,141",53.2,188.2,77
SEG1,Socioeconomic group,Quintile 1 (lowest),2020,Males,"21,107","2,585,461",816.4,700.5,1.2,"9,449",44.8,332.7,"158,265",65.6,"4,845",51.3,174.9,77.1
SEG1,Socioeconomic group,Quintile 1 (lowest),2021,Males,"22,329","2,578,686",865.9,720.6,1.21,"9,742",43.6,337.8,"156,530",65.2,"4,847",49.8,172.3,77.4
SEG2,Socioeconomic group,Quintile 2,2017,Males,"19,582","2,464,171",794.7,678.8,1.08,"8,025",41,293.2,"131,396",57,"4,348",53.5,163.5,78.6
SEG2,Socioeconomic group,Quintile 2,2018,Males,"19,476","2,495,714",780.4,656.6,1.09,"7,825",40.2,278.7,"123,887",53.2,"4,117",52,150.7,78.9
SEG2,Socioeconomic group,Quintile 2,2019,Males,"21,084","2,526,698",834.4,694.5,1.1,"8,682",41.2,306,"140,774",59.8,"4,391",51.7,158.9,78.6
SEG2,Socioeconomic group,Quintile 2,2020,Males,"20,248","2,552,892",793.1,645.3,1.11,"8,254",40.8,283.5,"130,428",55,"4,180",50.6,147.9,78.6
SEG2,Socioeconomic group,Quintile 2,2021,Males,"21,186","2,556,193",828.8,653.5,1.09,"8,385",39.6,283.3,"131,433",55.5,"4,167",49.7,145.1,78.9
SEG3,Socioeconomic group,Quintile 3,2017,Males,"15,638","2,375,708",658.2,603.6,0.96,"6,086",38.9,236.6,"98,683",44.2,"3,131",50.7,124.8,79.3
SEG3,Socioeconomic group,Quintile 3,2018,Males,"15,807","2,421,842",652.7,591.2,0.98,"6,345",40.1,240.1,"102,527",45,"3,301",51.4,127.9,79
SEG3,Socioeconomic group,Quintile 3,2019,Males,"16,614","2,469,507",672.8,602.3,0.96,"6,721",40.5,249.9,"111,540",48.1,"3,293",50.2,125.7,78.9
SEG3,Socioeconomic group,Quintile 3,2020,Males,"16,053","2,512,164",639,559.8,0.96,"6,337",39.5,229,"102,541",43.6,"3,169",50,117.4,79.2
SEG3,Socioeconomic group,Quintile 3,2021,Males,"17,056","2,535,016",672.8,573.6,0.96,"6,406",37.6,227.7,"103,129",43.6,"3,146",49.1,114.7,79.8
SEG4,Socioeconomic group,Quintile 4,2017,Males,"13,572","2,388,486",568.2,575.4,0.92,"5,311",39.1,219,"88,157",38.9,"2,828",52.3,117.5,79.5
SEG4,Socioeconomic group,Quintile 4,2018,Males,"13,084","2,440,154",536.2,537.3,0.89,"5,087",38.9,203.5,"84,859",36.7,"2,604",50.4,105.4,79.6
SEG4,Socioeconomic group,Quintile 4,2019,Males,"14,293","2,494,793",572.9,567.9,0.9,"5,513",38.6,215.6,"94,859",40.2,"2,717",51,107.4,79.7
SEG4,Socioeconomic group,Quintile 4,2020,Males,"13,576","2,540,415",534.4,518.9,0.89,"5,120",37.7,193.9,"82,903",34.6,"2,547",49.7,97.6,79.8
SEG4,Socioeconomic group,Quintile 4,2021,Males,"14,566","2,556,290",569.8,537.8,0.9,"5,482",37.6,205.2,"91,088",37.8,"2,669",48.7,101.5,80
SEG5,Socioeconomic group,Quintile 5 (highest),2017,Males,"12,776","2,452,546",520.9,492.8,0.79,"4,445",34.8,171,"70,902",30.6,"2,297",50.7,90.2,81.3
SEG5,Socioeconomic group,Quintile 5 (highest),2018,Males,"12,746","2,484,554",513,478.2,0.79,"4,355",34.2,163.4,"70,041",29.9,"2,176",49.1,83.3,81.5
SEG5,Socioeconomic group,Quintile 5 (highest),2019,Males,"13,679","2,515,505",543.8,498.1,0.79,"4,697",34.3,173.3,"75,867",32,"2,261",49.8,84.9,81.3
SEG5,Socioeconomic group,Quintile 5 (highest),2020,Males,"13,246","2,537,510",522,466.7,0.8,"4,564",34.5,165.5,"72,948",30.6,"2,291",50.2,84.9,81.2
SEG5,Socioeconomic group,Quintile 5 (highest),2021,Males,"14,025","2,521,074",556.3,478.2,0.8,"4,514",32.2,163,"70,420",29.9,"2,143",47.5,79.3,82
SEG8,Socioeconomic group,Unknown/missing,2017,Males,311,,,,,,,,,,,,,
SEG8,Socioeconomic group,Unknown/missing,2018,Males,382,,,,,,,,,,,,,
SEG8,Socioeconomic group,Unknown/missing,2019,Males,765,,,,,,,,,,,,,
SEG8,Socioeconomic group,Unknown/missing,2020,Males,359,,,,,,,,,,,,,
SEG8,Socioeconomic group,Unknown/missing,2021,Males,239,,,,,,,,,,,,,
SEG9,Socioeconomic group,Australia (total),2017,Males,"82,858","12,204,216",678.9,626,1,"33,381",40.3,255.6,"552,351",48.1,"17,783",52.5,139,78.9
SEG9,Socioeconomic group,Australia (total),2018,Males,"82,320","12,391,538",664.3,604.4,1,"33,419",40.6,249.6,"546,730",46.9,"17,618",51.9,134.5,78.9
SEG9,Socioeconomic group,Australia (total),2019,Males,"88,346","12,579,318",702.3,630.6,1,"35,983",40.7,264.5,"600,028",50.8,"18,057",51.7,135.4,78.8
SEG9,Socioeconomic group,Australia (total),2020,Males,"84,588","12,730,767",664.4,583.4,1,"34,026",40.2,244.1,"554,302",46.5,"17,224",50.6,126.4,78.9
SEG9,Socioeconomic group,Australia (total),2021,Males,"89,401","12,749,582",701.2,597.1,1,"34,742",38.9,245.9,"558,212",46.9,"17,113",49.3,124.1,79.4
SEG1,Socioeconomic group,Quintile 1 (lowest),2017,Females,"18,527","2,519,633",735.3,519.9,1.17,"5,675",30.6,206,"93,150",40.1,"2,845",49.8,104.9,83
SEG1,Socioeconomic group,Quintile 1 (lowest),2018,Females,"18,171","2,542,316",714.8,500.1,1.17,"5,595",30.8,198.9,"89,111",38.1,"2,783",49.5,101.3,83.1
SEG1,Socioeconomic group,Quintile 1 (lowest),2019,Females,"18,841","2,562,806",735.2,510.5,1.15,"5,896",31.3,206.1,"93,732",39.8,"2,830",48.5,101.1,82.9
SEG1,Socioeconomic group,Quintile 1 (lowest),2020,Females,"17,995","2,577,891",698,478.6,1.17,"5,664",31.5,194.5,"91,247",38.6,"2,724",48.1,96.2,82.8
SEG1,Socioeconomic group,Quintile 1 (lowest),2021,Females,"19,376","2,567,867",754.6,503.1,1.18,"6,033",31.1,203.4,"92,973",39.6,"2,793",46.3,96.8,83
SEG2,Socioeconomic group,Quintile 2,2017,Females,"18,228","2,490,759",731.8,479.5,1.07,"4,831",26.5,171.8,"75,170",32.9,"2,409",49.2,87.9,85
SEG2,Socioeconomic group,Quintile 2,2018,Females,"17,714","2,519,497",703.1,461.3,1.08,"4,875",27.5,169.3,"73,459",31.8,"2,374",48.4,85,84.5
SEG2,Socioeconomic group,Quintile 2,2019,Females,"18,961","2,548,102",744.1,481.6,1.08,"5,116",27,174.3,"78,256",33.5,"2,388",47.6,83.4,84.8
SEG2,Socioeconomic group,Quintile 2,2020,Females,"17,963","2,574,406",697.8,446.4,1.09,"4,887",27.2,161.7,"74,143",31.5,"2,263",46.3,77.4,84.4
SEG2,Socioeconomic group,Quintile 2,2021,Females,"19,328","2,573,295",751.1,470.3,1.1,"5,257",27.2,171.6,"78,750",33.6,"2,364",45,79.5,84.4
SEG3,Socioeconomic group,Quintile 3,2017,Females,"14,708","2,420,595",607.6,433.9,0.97,"3,942",26.8,147.4,"60,579",27,"1,868",46.9,71.1,85
SEG3,Socioeconomic group,Quintile 3,2018,Females,"14,381","2,466,518",583,415.1,0.97,"3,943",27.4,143.3,"61,780",27.1,"1,833",46,68.2,84.8
SEG3,Socioeconomic group,Quintile 3,2019,Females,"15,052","2,514,421",598.6,422.1,0.95,"4,042",26.9,142.5,"62,784",27,"1,849",46.7,66.7,84.8
SEG3,Socioeconomic group,Quintile 3,2020,Females,"14,538","2,560,472",567.8,395.3,0.96,"3,952",27.2,135.1,"60,455",25.6,"1,821",46.1,64,84.7
SEG3,Socioeconomic group,Quintile 3,2021,Females,"15,499","2,584,010",599.8,407.9,0.95,"4,052",26.1,135.3,"60,859",25.6,"1,850",45.7,63.9,84.8
SEG4,Socioeconomic group,Quintile 4,2017,Females,"12,966","2,421,206",535.5,410,0.92,"3,217",24.8,128.1,"52,517",23.2,"1,532",47.1,62,85.6
SEG4,Socioeconomic group,Quintile 4,2018,Females,"12,612","2,475,249",509.5,391,0.91,"3,279",26,125.8,"52,218",22.6,"1,555",47,60.5,85.3
SEG4,Socioeconomic group,Quintile 4,2019,Females,"13,681","2,531,698",540.4,413.1,0.93,"3,558",26,132.6,"57,439",24.3,"1,651",47.3,62.5,85.2
SEG4,Socioeconomic group,Quintile 4,2020,Females,"12,844","2,581,633",497.5,375.5,0.92,"3,268",25.4,117.9,"52,245",21.7,"1,487",45.5,54.7,85.4
SEG4,Socioeconomic group,Quintile 4,2021,Females,"13,984","2,598,785",538.1,395.8,0.93,"3,516",25.1,123.9,"54,657",22.6,"1,533",43.6,55.1,85.6
SEG5,Socioeconomic group,Quintile 5 (highest),2017,Females,"13,431","2,536,209",529.6,371.9,0.83,"2,884",21.5,105.7,"45,539",19.3,"1,328",45.3,49.6,87.1
SEG5,Socioeconomic group,Quintile 5 (highest),2018,Females,"13,097","2,569,855",509.6,357.7,0.84,"2,922",22.3,103.9,"45,247",19,"1,316",44.5,47.9,86.8
SEG5,Socioeconomic group,Quintile 5 (highest),2019,Females,"13,908","2,602,093",534.5,371.8,0.84,"3,149",22.6,109.3,"48,021",19.9,"1,358",44.3,48.2,86.9
SEG5,Socioeconomic group,Quintile 5 (highest),2020,Females,"13,213","2,628,263",502.7,344.6,0.84,"3,007",22.8,101.6,"45,300",18.6,"1,385",46.1,48.3,86.7
SEG5,Socioeconomic group,Quintile 5 (highest),2021,Females,"13,773","2,612,619",527.2,351.3,0.82,"2,978",21.6,100.6,"45,616",18.9,"1,272",42.7,44.3,86.9
SEG8,Socioeconomic group,Unknown/missing,2017,Females,192,,,,,,,,,,,,,
SEG8,Socioeconomic group,Unknown/missing,2018,Females,198,,,,,,,,,,,,,
SEG8,Socioeconomic group,Unknown/missing,2019,Females,512,,,,,,,,,,,,,
SEG8,Socioeconomic group,Unknown/missing,2020,Females,159,,,,,,,,,,,,,
SEG8,Socioeconomic group,Unknown/missing,2021,Females,108,,,,,,,,,,,,,
SEG9,Socioeconomic group,Australia (total),2017,Females,"78,051","12,389,986",630,446.1,1,"20,698",26.5,153.3,"330,401",28.8,"10,084",48.2,76.1,85
SEG9,Socioeconomic group,Australia (total),2018,Females,"76,173","12,575,105",605.7,427.8,1,"20,770",27.3,149.6,"325,077",27.9,"10,003",47.6,73.7,84.8
SEG9,Socioeconomic group,Australia (total),2019,Females,"80,955","12,760,899",634.4,444.1,1,"22,007",27.2,154.7,"344,865",29.2,"10,183",47.3,73.2,84.8
SEG9,Socioeconomic group,Australia (total),2020,Females,"76,712","12,924,522",593.5,410.3,1,"20,901",27.2,143.1,"326,077",27.4,"9,760",46.7,68.7,84.6
